uuid,name,description,void/retire,criteria,evaluator,message,priority,enabled,tags
b1f7a2c0-0002-4a00-9000-000000000002,RHD prophylaxis overdue,BPG injection past due: last injection plus the regimen interval has passed,,"SELECT pat.patient_id FROM (SELECT o.person_id, MAX(o.value_datetime) AS last_injection FROM obs o JOIN concept c ON c.concept_id = o.concept_id WHERE c.uuid = '183fb30e-b861-5b7c-806f-7118a40f2b51' AND o.voided = 0 GROUP BY o.person_id) inj JOIN (SELECT o.person_id, CASE rt.code WHEN 'q14_day_bpg' THEN 14 WHEN 'q21_day_bpg' THEN 21 WHEN 'q28_day_bpg' THEN 28 END AS interval_days FROM obs o JOIN concept q ON q.concept_id = o.concept_id JOIN concept_reference_map m ON m.concept_id = o.value_coded JOIN concept_reference_term rt ON rt.concept_reference_term_id = m.concept_reference_term_id WHERE q.uuid = '668e0221-8b41-5669-9ad8-78e193d42494' AND o.voided = 0 AND rt.code IN ('q14_day_bpg','q21_day_bpg','q28_day_bpg')) reg ON reg.person_id = inj.person_id JOIN patient pat ON pat.patient_id = inj.person_id AND pat.voided = 0 WHERE DATE(inj.last_injection) + INTERVAL reg.interval_days DAY < CURDATE()",org.openmrs.module.patientflags.evaluator.SQLFlagEvaluator,BPG injection overdue,RHD High,true,RHD
b1f7a2c0-0004-4a00-9000-000000000004,RHD lost to follow-up,No RHD consultation and no prophylaxis record for 210 days (7 months) in a patient with a prescription. Mirrors ACT 2.0 Needs Prophylaxis Data Red.,,"SELECT pat.patient_id FROM patient pat JOIN (SELECT e.patient_id, MAX(e.encounter_datetime) AS last_consult FROM encounter e WHERE e.encounter_type = (SELECT encounter_type_id FROM encounter_type WHERE uuid = 'c2503561-c00d-5460-8157-43d594472b4a') AND e.voided = 0 GROUP BY e.patient_id) con ON con.patient_id = pat.patient_id JOIN (SELECT o.person_id, MAX(o.value_datetime) AS last_injection FROM obs o JOIN concept c ON c.concept_id = o.concept_id WHERE c.uuid = '183fb30e-b861-5b7c-806f-7118a40f2b51' AND o.voided = 0 GROUP BY o.person_id) inj ON inj.person_id = pat.patient_id JOIN (SELECT DISTINCT o.person_id FROM obs o JOIN concept q ON q.concept_id = o.concept_id WHERE q.uuid = '668e0221-8b41-5669-9ad8-78e193d42494' AND o.voided = 0 AND o.value_coded IS NOT NULL) rx ON rx.person_id = pat.patient_id WHERE pat.voided = 0 AND DATE(con.last_consult) < DATE_SUB(CURDATE(), INTERVAL 210 DAY) AND DATE(inj.last_injection) < DATE_SUB(CURDATE(), INTERVAL 210 DAY)",org.openmrs.module.patientflags.evaluator.SQLFlagEvaluator,Lost to follow-up: no data for 7 months,RHD High,true,RHD
b1f7a2c0-0005-4a00-9000-000000000005,RHD prophylaxis not prescribed,Patient has an RHD or acute rheumatic fever diagnosis but no secondary antibiotic prophylaxis recorded. ACT 2.0 rule 1.,,"SELECT pat.patient_id FROM patient pat JOIN obs dx ON dx.person_id = pat.patient_id AND dx.voided = 0 AND dx.concept_id = (SELECT concept_id FROM concept WHERE uuid = '1a5aa050-661d-5e89-95d7-c1eba476df22') LEFT JOIN obs sap ON sap.person_id = pat.patient_id AND sap.voided = 0 AND sap.concept_id = (SELECT concept_id FROM concept WHERE uuid = '668e0221-8b41-5669-9ad8-78e193d42494') WHERE pat.voided = 0 AND sap.obs_id IS NULL AND dx.value_coded IN ((SELECT concept_id FROM concept WHERE uuid = '7cfaaf46-1939-5437-8d40-31095cb29812'), (SELECT concept_id FROM concept WHERE uuid = '2a648c80-594c-5442-bdfc-70e7472ef5b7'), (SELECT concept_id FROM concept WHERE uuid = '5458f2f7-9eba-5ba4-b2a8-6c736d574ca9'), (SELECT concept_id FROM concept WHERE uuid = '19fb7b40-528e-5b1c-a610-f2e624c98038'), (SELECT concept_id FROM concept WHERE uuid = 'cbfcf051-bee3-549d-b233-e5be0e7d691a'))",org.openmrs.module.patientflags.evaluator.SQLFlagEvaluator,RHD or ARF diagnosis requires prophylaxis,RHD Data Quality,true,Critical data
b1f7a2c0-0006-4a00-9000-000000000006,RHD 30-day follow-up due,Discharged more than 30 days ago with no follow-up contact recorded on that encounter. ACT 2.0 rule 4. Time-based: needs scheduled re-evaluation.,,SELECT pat.patient_id FROM patient pat JOIN obs dis ON dis.person_id = pat.patient_id AND dis.voided = 0 AND dis.concept_id = (SELECT concept_id FROM concept WHERE uuid = 'd4317b82-5d37-5b59-ac32-4922f18cd65b') LEFT JOIN obs fu ON fu.encounter_id = dis.encounter_id AND fu.voided = 0 AND fu.concept_id = (SELECT concept_id FROM concept WHERE uuid = '49f9238d-2ca4-5efd-a5cb-f00a0b44828d') WHERE pat.voided = 0 AND fu.obs_id IS NULL AND DATE(dis.value_datetime) + INTERVAL 30 DAY < CURDATE() AND NOT EXISTS ( SELECT 1 FROM obs po WHERE po.encounter_id = dis.encounter_id AND po.voided = 0 AND po.concept_id = (SELECT concept_id FROM concept WHERE uuid = '7a54d2d6-0d34-5e5d-b8e7-84a3cf7e9dca') AND po.value_coded = (SELECT concept_id FROM concept WHERE uuid = '2567da9f-864e-5408-b5ae-6686f80d0a99') ) AND NOT EXISTS ( SELECT 1 FROM person dp WHERE dp.person_id = pat.patient_id AND dp.dead = 1 ),org.openmrs.module.patientflags.evaluator.SQLFlagEvaluator,30-day follow-up contact due,RHD Data Quality,true,Critical data
b1f7a2c0-0009-4a00-9000-000000000009,RHD INR target missing,Patient prescribed Warfarin without INR target,,SELECT DISTINCT pat.patient_id FROM patient pat JOIN obs w ON w.person_id = pat.patient_id AND w.voided = 0 AND w.concept_id = (SELECT concept_id FROM concept WHERE uuid = 'd5421303-4a78-57ca-a274-a4d90ea99b28') AND w.value_coded = (SELECT concept_id FROM concept WHERE uuid = '5e97fe35-58df-4925-bba7-7c49d75268a1') WHERE pat.voided = 0 AND NOT EXISTS ( SELECT 1 FROM obs t WHERE t.person_id = pat.patient_id AND t.voided = 0 AND t.concept_id = (SELECT concept_id FROM concept WHERE uuid = '0778ce12-ddba-5e22-b5fd-92424e8747b4') ),org.openmrs.module.patientflags.evaluator.SQLFlagEvaluator,Warfarin prescribed without an INR target,RHD Data Quality,true,Critical data
b1f7a2c0-0010-4a00-9000-000000000010,RHD perfusion issues not recorded,Hospitalisation outcome incomplete after discharge or death,,SELECT DISTINCT pat.patient_id FROM patient pat JOIN encounter e ON e.patient_id = pat.patient_id AND e.voided = 0 AND e.encounter_type = (SELECT encounter_type_id FROM encounter_type WHERE uuid = 'c9b87090-8768-50be-987e-8ca0a8983429') JOIN obs po ON po.encounter_id = e.encounter_id AND po.voided = 0 AND po.concept_id = (SELECT concept_id FROM concept WHERE uuid = '7a54d2d6-0d34-5e5d-b8e7-84a3cf7e9dca') LEFT JOIN obs dd ON dd.encounter_id = e.encounter_id AND dd.voided = 0 AND dd.concept_id = (SELECT concept_id FROM concept WHERE uuid = 'd4317b82-5d37-5b59-ac32-4922f18cd65b') WHERE pat.voided = 0 AND ( po.value_coded = (SELECT concept_id FROM concept WHERE uuid = '2567da9f-864e-5408-b5ae-6686f80d0a99') OR ( po.value_coded = (SELECT concept_id FROM concept WHERE uuid = '98ea6c57-5f77-549b-97ca-32604c5b9220') AND dd.value_datetime IS NOT NULL AND DATE(dd.value_datetime) < CURDATE() ) ) AND NOT EXISTS ( SELECT 1 FROM obs f WHERE f.encounter_id = e.encounter_id AND f.voided = 0 AND f.concept_id = (SELECT concept_id FROM concept WHERE uuid = '1c14c3f1-1532-51b0-8680-d761e7f25ad5') ),org.openmrs.module.patientflags.evaluator.SQLFlagEvaluator,Perfusion issues not recorded,RHD Data Quality,true,Critical data
b1f7a2c0-0011-4a00-9000-000000000011,RHD site infection not recorded,Hospitalisation outcome incomplete after discharge or death,,SELECT DISTINCT pat.patient_id FROM patient pat JOIN encounter e ON e.patient_id = pat.patient_id AND e.voided = 0 AND e.encounter_type = (SELECT encounter_type_id FROM encounter_type WHERE uuid = 'c9b87090-8768-50be-987e-8ca0a8983429') JOIN obs po ON po.encounter_id = e.encounter_id AND po.voided = 0 AND po.concept_id = (SELECT concept_id FROM concept WHERE uuid = '7a54d2d6-0d34-5e5d-b8e7-84a3cf7e9dca') LEFT JOIN obs dd ON dd.encounter_id = e.encounter_id AND dd.voided = 0 AND dd.concept_id = (SELECT concept_id FROM concept WHERE uuid = 'd4317b82-5d37-5b59-ac32-4922f18cd65b') WHERE pat.voided = 0 AND ( po.value_coded = (SELECT concept_id FROM concept WHERE uuid = '2567da9f-864e-5408-b5ae-6686f80d0a99') OR ( po.value_coded = (SELECT concept_id FROM concept WHERE uuid = '98ea6c57-5f77-549b-97ca-32604c5b9220') AND dd.value_datetime IS NOT NULL AND DATE(dd.value_datetime) < CURDATE() ) ) AND NOT EXISTS ( SELECT 1 FROM obs f WHERE f.encounter_id = e.encounter_id AND f.voided = 0 AND f.concept_id = (SELECT concept_id FROM concept WHERE uuid = '15e033f6-704e-5bde-ac1d-b401294f416c') ),org.openmrs.module.patientflags.evaluator.SQLFlagEvaluator,Site infection not recorded,RHD Data Quality,true,Critical data
b1f7a2c0-0012-4a00-9000-000000000012,RHD bacterial sepsis not recorded,Hospitalisation outcome incomplete after discharge or death,,SELECT DISTINCT pat.patient_id FROM patient pat JOIN encounter e ON e.patient_id = pat.patient_id AND e.voided = 0 AND e.encounter_type = (SELECT encounter_type_id FROM encounter_type WHERE uuid = 'c9b87090-8768-50be-987e-8ca0a8983429') JOIN obs po ON po.encounter_id = e.encounter_id AND po.voided = 0 AND po.concept_id = (SELECT concept_id FROM concept WHERE uuid = '7a54d2d6-0d34-5e5d-b8e7-84a3cf7e9dca') LEFT JOIN obs dd ON dd.encounter_id = e.encounter_id AND dd.voided = 0 AND dd.concept_id = (SELECT concept_id FROM concept WHERE uuid = 'd4317b82-5d37-5b59-ac32-4922f18cd65b') WHERE pat.voided = 0 AND ( po.value_coded = (SELECT concept_id FROM concept WHERE uuid = '2567da9f-864e-5408-b5ae-6686f80d0a99') OR ( po.value_coded = (SELECT concept_id FROM concept WHERE uuid = '98ea6c57-5f77-549b-97ca-32604c5b9220') AND dd.value_datetime IS NOT NULL AND DATE(dd.value_datetime) < CURDATE() ) ) AND NOT EXISTS ( SELECT 1 FROM obs f WHERE f.encounter_id = e.encounter_id AND f.voided = 0 AND f.concept_id = (SELECT concept_id FROM concept WHERE uuid = '86c4348a-1ec0-5ca2-a9a6-15f0f282cb95') ),org.openmrs.module.patientflags.evaluator.SQLFlagEvaluator,Bacterial sepsis not recorded,RHD Data Quality,true,Critical data
b1f7a2c0-0013-4a00-9000-000000000013,RHD delivery outcome overdue,Estimated due date passed by 30 days with no delivery recorded,,SELECT DISTINCT pat.patient_id FROM patient pat JOIN encounter e ON e.patient_id = pat.patient_id AND e.voided = 0 AND e.encounter_type = (SELECT encounter_type_id FROM encounter_type WHERE uuid = 'ce6b111e-9beb-5a91-91ad-ec5043976fd5') JOIN obs edd ON edd.encounter_id = e.encounter_id AND edd.voided = 0 AND edd.concept_id = (SELECT concept_id FROM concept WHERE uuid = '3ad5133c-80d0-5007-ba1a-c5be27cbb10c') WHERE pat.voided = 0 AND edd.value_datetime IS NOT NULL AND DATE(edd.value_datetime) + INTERVAL 30 DAY < CURDATE() AND NOT EXISTS ( SELECT 1 FROM obs dm WHERE dm.encounter_id = e.encounter_id AND dm.voided = 0 AND dm.concept_id = (SELECT concept_id FROM concept WHERE uuid = '2c13856b-5622-500f-b986-f1509c424056') ),org.openmrs.module.patientflags.evaluator.SQLFlagEvaluator,Delivery outcome overdue,RHD Data Quality,true,Critical data
b1f7a2c0-0014-4a00-9000-000000000014,RHD death not recorded on patient,A form records a death but the patient record does not,,"SELECT DISTINCT pat.patient_id FROM patient pat JOIN person p ON p.person_id = pat.patient_id AND p.voided = 0 JOIN obs o ON o.person_id = pat.patient_id AND o.voided = 0 WHERE pat.voided = 0 AND p.dead = 0 AND ( ( o.concept_id = (SELECT concept_id FROM concept WHERE uuid = '7a54d2d6-0d34-5e5d-b8e7-84a3cf7e9dca') AND o.value_coded = (SELECT concept_id FROM concept WHERE uuid = '2567da9f-864e-5408-b5ae-6686f80d0a99') ) OR ( o.concept_id = (SELECT concept_id FROM concept WHERE uuid = '726b7eaa-3ecf-5c6b-ba21-cd81c58d6a0d') AND o.value_coded IN ( (SELECT CAST(gp.property_value AS UNSIGNED) FROM global_property gp WHERE gp.property = 'concept.false'), (SELECT concept_id FROM concept WHERE uuid = '1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA') ) ) OR ( o.concept_id IN ((SELECT concept_id FROM concept WHERE uuid = 'd476b4e0-5c24-5d99-9588-26aadc1e35c6'), (SELECT concept_id FROM concept WHERE uuid = '7ec339f7-be0b-5199-a9e7-a8ab82860fb2')) AND o.value_text LIKE '%Death%' ) )",org.openmrs.module.patientflags.evaluator.SQLFlagEvaluator,Death recorded on a form but not on the patient,RHD Data Quality,true,Critical data
